
> english-learning-server@1.0.0 start
> node index.js

MySQL 数据库和表结构初始化完成
✅ 服务器已启动，监听端口: 3000
📡 API地址: https://localhost:3000/api
💾 数据库: MySQL
2026-08-03T13:32:56.122Z - GET /api/settings?userId=76
2026-08-03T13:32:57.633Z - POST /api/word/status/unknown
2026-08-03T13:32:57.804Z - GET /api/words/wrong?limit=1
2026-08-03T13:32:58.454Z - GET /api/achievement?userId=76
2026-08-03T13:32:58.457Z - GET /api/settings?userId=76
2026-08-03T13:33:02.182Z - POST /api/word/status/unknown
2026-08-03T13:33:02.337Z - GET /api/words/wrong?limit=1
2026-08-03T13:33:02.958Z - GET /api/achievement?userId=76
2026-08-03T13:33:02.961Z - GET /api/settings?userId=76
2026-08-03T13:33:05.620Z - GET /api/words/daily?limit=20&progressive=1
2026-08-03T13:33:05.622Z - GET /api/words/count
2026-08-03T13:33:05.641Z - GET /api/words/wrong?limit=1
